Year,Year ending,Police Service Area,Local Government Area,Latitude,Longitude,Offence Division,Offence Subdivision,Offence Subgroup,Incidents Recorded,"PSA Rate per 100,000 population","LGA Rate per 100,000 population"
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A10 Homicide and related offences,A10 Homicide and related offences,2,1.7,1.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A20 Assault and related offences,A211 FV Serious assault,143,118.6,126.5
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A20 Assault and related offences,A212 Non-FV Serious assault,131,108.6,115.9
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A20 Assault and related offences,"A22 Assault police, emergency services or other authorised officer",34,28.2,30.1
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A20 Assault and related offences,A231 FV Common assault,279,231.3,246.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A20 Assault and related offences,A232 Non-FV Common assault,172,142.6,152.1
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A30 Sexual offences,A30 Sexual offences,214,177.4,189.3
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A40 Abduction and related offences,A41 Abduction,4,3.3,3.5
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A40 Abduction and related offences,A42 False imprisonment,7,5.8,6.2
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A50 Robbery,A51 Aggravated robbery,17,14.1,15
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A50 Robbery,A52 Non-Aggravated robbery,2,1.7,1.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A60 Blackmail and extortion,A61 Blackmail,1,0.8,0.9
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A711 FV Stalking,18,14.9,15.9
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A712 Non-FV Stalking,17,14.1,15
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A721 FV Harassment and private nuisance,7,5.8,6.2
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A722 Non-FV Harassment and private nuisance,7,5.8,6.2
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A731 FV Threatening behaviour,37,30.7,32.7
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,"A70 Stalking, harassment and threatening behaviour",A732 Non-FV Threatening behaviour,22,18.2,19.5
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A81 Dangerous driving,28,23.2,24.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A83 Throw or discharge object endangering people,12,9.9,10.6
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,A Crimes against the person,A80 Dangerous and negligent acts endangering people,A89 Other dangerous or negligent acts endangering people,67,55.5,59.3
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B10 Arson,B11 Cause damage by fire,67,55.5,59.3
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B10 Arson,B12 Cause a bushfire,2,1.7,1.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B10 Arson,B19 Other fire related offences,2,1.7,1.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B20 Property damage,B21 Criminal damage,665,551.3,588.2
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B20 Property damage,B22 Graffiti,77,63.8,68.1
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B20 Property damage,B29 Other property damage offences,5,4.1,4.4
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B30 Burglary/Break and enter,B311 Residential aggravated burglary,127,105.3,112.3
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B30 Burglary/Break and enter,B312 Non-residential aggravated burglary,3,2.5,2.7
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B30 Burglary/Break and enter,B319 Unknown aggravated burglary,1,0.8,0.9
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B30 Burglary/Break and enter,B321 Residential non-aggravated burglary,282,233.8,249.4
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B30 Burglary/Break and enter,B322 Non-residential non-aggravated burglary,137,113.6,121.2
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B30 Burglary/Break and enter,B329 Unknown non-aggravated burglary,2,1.7,1.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B40 Theft,B41 Motor vehicle theft,314,260.3,277.7
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B40 Theft,B42 Steal from a motor vehicle,903,748.7,798.7
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B40 Theft,B43 Steal from a retail store,336,278.6,297.2
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B40 Theft,B44 Theft of a bicycle,65,53.9,57.5
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B40 Theft,B45 Receiving or handling stolen goods,122,101.1,107.9
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B40 Theft,B49 Other theft,513,425.3,453.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B50 Deception,B51 Forgery and counterfeiting,61,50.6,54
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B50 Deception,B53 Obtain benefit by deception,226,187.4,199.9
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B50 Deception,B54 State false information,10,8.3,8.8
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,B Property and deception offences,B50 Deception,B56 Professional malpractice and misrepresentation,1,0.8,0.9
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,C Drug offences,C10 Drug dealing and trafficking,C11 Drug dealing,3,2.5,2.7
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,C Drug offences,C10 Drug dealing and trafficking,C12 Drug trafficking,42,34.8,37.2
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,C Drug offences,C20 Cultivate or manufacture drugs,C21 Cultivate drugs,13,10.8,11.5
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,C Drug offences,C20 Cultivate or manufacture drugs,C23 Possess drug manufacturing equipment or precursor,3,2.5,2.7
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,C Drug offences,C30 Drug use and possession,C31 Drug use,1,0.8,0.9
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,C Drug offences,C30 Drug use and possession,C32 Drug possession,115,95.3,101.7
2021,March,Ballarat,Ballarat,-37.5621587,143.8502556,C Drug offences,C90 Other drug offences,C99 Other drug offences,2,1.7,1.8
